pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142616242372000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,93863503,5.04375,64,312.6718,-28,0,0.2.1
1776142616642365000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,94263520,5.04375,64,324.8855,-28,0,0.2.1
1776142616944001000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,94563523,5.045,64,324.8855,-28,0,0.2.1
1776142617242115000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,94863446,5.045,64,305.3435,-28,0,0.2.1
1776142617941784000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,95563523,5.04375,64,324.8855,-28,0,0.2.1
1776142618442498000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,96063506,5.045,64,324.8855,-28,0,0.2.1
1776142618942442000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,96563506,5.0425,64.09771,320,-28,0,0.2.1
1776142619442542000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,97063520,5.04625,64,324.8855,-28,0,0.2.1
1776142627042495000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,104663465,5.0425,64,324.8855,-28,0,0.2.1
1776142627744482000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,105363449,5.0425,64,324.8855,-28,0,0.2.1
1776142628242386000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,105863484,5.0125,64,320,-28,0,0.2.1
